537.425964,563.238892,583.219055,593.022766,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,412.891327,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,411.030426,

avg. max avg. throughput in test times
411.030426
avg. BS TX power in all test times
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,10.000,10.000,10.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,
avg. mbs all power,avg. cbsd enable number,avg. mbs area all power,avg. cbsd all power
70.000,4.000,40.000,4.000
avg. number of relay UE
653

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,
10.000,10.000,10.000,10.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,0.000,0.000,1.000,
max average power
411.030426

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
1406,-1558,4,0,0,4,22.269899
867,1670,1,1,0,1,42.287476
-1041,1298,2,0,0,0,740.236084
-1909,-639,3,0,0,4,22.269899
1604,-699,4,0,0,0,725.815918
1532,908,1,0,0,4,22.269899
-1823,9,2,1,0,4,22.269899
-430,-655,3,0,0,0,956.867065
873,-1518,4,0,0,0,725.580505
46,1771,1,0,0,1,42.287476
-503,1888,2,0,0,1,42.287476
-1929,-821,3,1,0,4,22.269899
267,-1062,4,0,0,0,860.462219
303,864,1,0,0,0,911.995239
-171,1294,2,1,0,1,42.287476
-43,-1072,3,1,0,4,22.269899
927,-823,4,0,0,0,824.786133
1813,336,1,0,0,4,22.269899
-869,1177,2,0,0,0,777.157959
-769,-999,3,1,0,4,22.269899
260,-1734,4,1,0,4,22.269899
1474,4,1,0,0,0,775.013672
-1668,927,2,0,0,1,42.287476
-290,-1264,3,0,0,0,811.810364
1178,-1220,4,0,0,0,734.768250
659,201,1,0,0,0,993.934143
-1110,963,2,0,0,0,775.890259
-280,-972,3,0,0,0,883.300598
91,-735,4,0,0,0,973.102417
1785,1636,1,1,0,4,22.269899
-862,1475,2,0,0,0,732.660828
-609,-900,3,0,0,4,22.269899
1497,-804,4,0,0,0,734.204041
1008,1187,1,0,0,0,759.239380
-964,485,2,0,0,0,864.677185
-589,-1674,3,0,0,4,22.269899
59,-403,4,0,0,0,1145.511963
1115,1571,1,0,0,1,42.287476
-424,1971,2,0,0,1,42.287476
-1025,-1204,3,0,0,0,754.856445
422,-1284,4,0,0,0,799.928345
117,681,1,0,0,0,993.096069
-992,1096,2,1,0,1,42.287476
-1714,-445,3,0,0,4,22.269899
1558,-1192,4,0,0,4,22.269899
1631,291,1,0,0,0,741.466125
-1310,1468,2,0,0,1,42.287476
-1841,-150,3,0,0,4,22.269899
1176,-465,4,1,0,4,22.269899
1834,429,1,0,0,4,22.269899
-1839,583,2,0,0,1,42.287476
-830,-498,3,0,0,0,895.983032
736,-1231,4,1,0,4,22.269899
1821,1244,1,0,0,4,22.269899
-541,1333,2,0,0,0,781.997131
-1991,-320,3,1,0,4,22.269899
406,-117,4,0,0,0,1134.926025
209,419,1,1,0,4,22.269899
-778,1532,2,0,0,0,731.017944
-1925,-1992,3,0,0,4,22.269899
233,-1287,4,1,0,4,22.269899
1572,489,1,1,0,4,22.269899
-869,811,2,1,0,1,42.287476
-1628,-1631,3,0,0,4,22.269899
1336,-251,4,0,0,0,798.273560
1843,1661,1,1,0,4,22.269899
-1435,1054,2,0,0,1,42.287476
-1082,-1650,3,0,0,4,22.269899
1266,-1515,4,0,0,4,22.269899
993,1143,1,1,0,1,42.287476
-528,1531,2,1,0,1,42.287476
-1372,-509,3,0,0,0,777.092651
344,-511,4,0,0,0,1026.207275
1162,1141,1,0,0,0,746.394897
-91,1729,2,0,0,0,728.829773
-421,-710,3,0,0,0,941.856506
949,-317,4,0,0,0,886.442993
1818,974,1,1,0,4,22.269899
-1102,188,2,1,0,4,22.269899
-1758,-1416,3,0,0,4,22.269899
1091,-745,4,0,0,0,806.482300
1227,1949,1,1,0,1,42.287476
-555,345,2,0,0,0,1009.174866
-1409,-1616,3,0,0,4,22.269899
358,-1207,4,0,0,0,820.331116
119,1348,1,1,0,1,42.287476
-1361,362,2,0,0,0,788.108704
-1352,-1762,3,0,0,4,22.269899
13,-332,4,1,0,4,22.269899
198,1851,1,0,0,1,42.287476
-80,376,2,0,0,0,1162.187744
