each generation's max average throughput
552.235352,572.524902,572.524902,572.524902,572.524902,572.524902,577.250122,577.250122,577.250122,577.250122,577.250122,577.250122,577.250122,582.789246,582.789246,582.789246,582.789246,586.516479,586.516479,586.516479,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.281189,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,590.296021,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,597.190735,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,598.127991,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.185486,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,601.362854,


the 1st max average throughput times

BS TX power
MBS area 1,MBS area 2,MBS area 3,MBS area 4,CBSD 1,CBSD 2,CBSD 3,CBSD 4,CBSD 5,CBSD 6,CBSD 7,CBSD 8,CBSD 9,CBSD 10,CBSD 11,CBSD 12,CBSD 13,CBSD 14,CBSD 15,CBSD 16,CBSD 17,CBSD 18,CBSD 19,CBSD 20,CBSD 21,CBSD 22,CBSD 23,CBSD 24,CBSD 25,
5.000,5.000,5.000,10.000,0.000,0.000,0.875,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.750,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,1.000,0.625,

max average throughput
441.523499

x,y,area,be blocked (1 : NLOS / 0 : LOS),be blocked number (>=1 : CBSD(x) / 0 : no),connect bs number (>=1 : CBSD / 0 : MBS),throughput (unit : M bps)
733,-776,4,1,0,3,19.716255
21,1144,1,1,0,3,19.716255
-1558,122,2,0,0,0,658.975159
-1981,-556,3,0,0,0,580.705444
1785,-1095,4,0,0,3,19.716255
1103,800,1,1,0,3,19.716255
-201,628,2,0,0,0,906.722107
-1304,-1302,3,0,0,0,612.012024
742,-1747,4,0,0,3,19.716255
1901,561,1,1,0,3,19.716255
-1665,1615,2,0,0,0,546.814514
-1843,-1779,3,0,0,0,518.898193
1112,-1461,4,0,0,3,19.716255
918,258,1,0,0,0,800.571838
-760,764,2,0,0,0,765.434875
-965,-1302,3,0,0,0,648.598816
1010,-635,4,0,0,3,19.716255
1643,210,1,1,0,3,19.716255
-1355,124,2,0,0,0,698.571472
-1670,-708,3,0,0,0,616.499207
1694,-1243,4,1,0,3,19.716255
100,229,1,1,0,3,19.716255
-1687,1065,2,0,0,0,589.452332
-1448,-1946,3,1,0,3,19.716255
1030,-148,4,0,0,3,19.716255
688,259,1,1,0,3,19.716255
-6,662,2,1,0,3,19.716255
-99,-370,3,1,0,3,19.716255
1097,-1344,4,0,0,3,19.716255
78,416,1,0,0,0,1034.485474
-1660,1106,2,0,0,0,589.500671
-1946,-795,3,0,0,0,574.633240
1754,-1857,4,0,0,3,19.716255
715,1804,1,0,0,0,597.315918
-896,283,2,0,0,0,804.803528
-489,-1623,3,1,0,3,19.716255
366,-719,4,1,0,3,19.716255
1717,722,1,0,0,0,608.957214
-473,1514,2,1,0,3,19.716255
-1927,-1216,3,0,0,0,551.844177
1296,-1573,4,0,0,3,19.716255
1884,1345,1,0,0,0,547.391174
-1041,1835,2,1,0,3,19.716255
-599,-1872,3,1,0,3,19.716255
1406,-1558,4,0,0,3,19.716255
867,1670,1,1,0,3,19.716255
-1041,1298,2,0,0,0,641.086365
-1909,-639,3,0,0,0,586.895386
1604,-699,4,0,0,3,19.716255
1532,908,1,0,0,0,621.726624
-1823,9,2,1,0,3,19.716255
-430,-655,3,0,0,0,857.056946
873,-1518,4,0,0,3,19.716255
46,1771,1,0,0,0,623.212463
-503,1888,2,0,0,0,595.372253
-1929,-821,3,1,0,3,19.716255
267,-1062,4,0,0,3,19.716255
303,864,1,0,0,0,812.254333
-171,1294,2,1,0,3,19.716255
-43,-1072,3,1,0,3,19.716255
927,-823,4,0,0,3,19.716255
1813,336,1,0,0,0,611.834412
-869,1177,2,0,0,0,677.816711
-769,-999,3,1,0,3,19.716255
260,-1734,4,1,0,3,19.716255
1474,4,1,0,0,3,19.716255
-1668,927,2,0,0,0,602.074402
-290,-1264,3,0,0,0,712.328674
1178,-1220,4,0,0,3,19.716255
659,201,1,0,0,0,894.080994
-1110,963,2,0,0,0,676.554810
-280,-972,3,0,0,0,783.616577
91,-735,4,0,0,0,973.102417
1785,1636,1,1,0,3,19.716255
-862,1475,2,0,0,0,633.556824
-609,-900,3,0,0,0,763.034180
1497,-804,4,0,0,3,19.716255
1008,1187,1,0,0,0,659.984985
-964,485,2,0,0,0,765.036682
-589,-1674,3,0,0,0,622.730591
59,-403,4,0,0,0,1145.511963
1115,1571,1,0,0,0,599.381226
-424,1971,2,0,0,0,586.475647
-1025,-1204,3,0,0,0,655.625000
422,-1284,4,0,0,3,19.716255
117,681,1,0,0,0,893.243835
-992,1096,2,1,0,3,19.716255
-1714,-445,3,0,0,0,623.336487
1558,-1192,4,0,0,3,19.716255
1631,291,1,0,0,0,642.309204
-1310,1468,2,0,0,0,593.394592
-1841,-150,3,0,0,0,611.336853
1176,-465,4,1,0,3,19.716255
1834,429,1,0,0,0,605.788269
-1839,583,2,0,0,0,598.978394
-830,-498,3,0,0,0,796.272461
736,-1231,4,1,0,3,19.716255
1821,1244,1,0,0,0,561.071472
-541,1333,2,0,0,0,682.634216
-1991,-320,3,1,0,3,19.716255
406,-117,4,0,0,0,1134.926025
209,419,1,1,0,3,19.716255
-778,1532,2,0,0,0,631.924194
-1925,-1992,3,0,0,0,496.977142
233,-1287,4,1,0,3,19.716255
1572,489,1,1,0,3,19.716255
-869,811,2,1,0,3,19.716255
-1628,-1631,3,0,0,0,548.658752
1336,-251,4,0,0,3,19.716255
1843,1661,1,1,0,3,19.716255
-1435,1054,2,0,0,0,621.787170
-1082,-1650,3,0,0,0,592.586670
1266,-1515,4,0,0,3,19.716255
993,1143,1,1,0,3,19.716255
-528,1531,2,1,0,3,19.716255
-1372,-509,3,0,0,0,677.751648
344,-511,4,0,0,0,1026.207275
1162,1141,1,0,0,0,647.209778
-91,1729,2,0,0,0,629.749817
-421,-710,3,0,0,0,842.067139
949,-317,4,0,0,3,19.716255
1818,974,1,1,0,3,19.716255
-1102,188,2,1,0,3,19.716255
-1758,-1416,3,0,0,0,554.488464
1091,-745,4,0,0,3,19.716255
1227,1949,1,1,0,3,19.716255
-555,345,2,0,0,0,909.307007
-1409,-1616,3,0,0,0,569.050537
358,-1207,4,0,0,3,19.716255
119,1348,1,1,0,3,19.716255
-1361,362,2,0,0,0,688.719360
-1352,-1762,3,0,0,0,559.082275
13,-332,4,1,0,3,19.716255
198,1851,1,0,0,0,609.119751
-80,376,2,0,0,0,1062.233521
-1207,-334,3,1,0,3,19.716255
541,-1176,4,0,0,3,19.716255
34,900,1,0,0,0,816.987061
-211,274,2,0,0,0,1092.739258
-511,-213,3,0,0,0,957.089050
745,-315,4,0,0,3,19.716255
829,669,1,0,0,0,768.747986
-1553,1416,2,0,0,0,574.699890
-1570,-928,3,0,0,0,614.954590
508,-916,4,0,0,3,19.716255
404,850,1,0,0,0,804.346741
-1366,572,2,0,0,0,674.343445
-376,-25,3,0,0,0,1067.981079
1438,-1678,4,0,0,3,19.716255
1887,1524,1,1,0,3,19.716255
-1740,1993,2,0,0,0,509.836365
-202,-1320,3,1,0,3,19.716255
769,-629,4,0,0,3,19.716255
1682,828,1,1,0,3,19.716255
